Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Younger	1	CTEstage	H1_beta_dosage	1.124	283	0.07	0.133	0.601212896205113	0.822735810952382
Cases	Older	1	CTEstage	H1_beta_dosage	1.096	194	-0.344	0.173	0.0487182788653042	0.18603171305499
Cases	Younger	1	CTEstage	H1_beta_dosage	1.101	177	0.41	0.186	0.0293052010017125	0.18603171305499
All	Older	2	CTEstage	H1_beta_dosage	1.125	211	-0.432	0.167	0.0105363091920934	0.168580947073494
All	Younger	2	CTEstage	H1_beta_dosage	1.117	245	0.011	0.155	0.941721803746634	0.941986654454489
Cases	Older	2	CTEstage	H1_beta_dosage	1.098	172	-0.303	0.195	0.121542694542499	0.285735662697346
Cases	Younger	2	CTEstage	H1_beta_dosage	1.077	163	0.351	0.207	0.0919033837228729	0.259925838646405
All	Older	3	CTEstage	H1_beta_dosage*footyrs	1.125	211	0.061	0.034	0.0762432205956063	0.228729661786819
All	Younger	3	CTEstage	H1_beta_dosage*footyrs	1.117	245	0.04	0.035	0.250785959341229	0.501571918682458
Cases	Older	3	CTEstage	H1_beta_dosage*footyrs	1.098	172	0.027	0.039	0.489533159759016	0.691105637306846
Cases	Younger	3	CTEstage	H1_beta_dosage*footyrs	1.077	163	0.001	0.051	0.981735577614866	0.989527354110626
All	NA	4	CTEstage	H1_beta_dosage*stratum	1.127	536	-0.418	0.194	0.0313170270079683	0.337170285840823
Cases	NA	4	CTEstage	H1_beta_dosage*stratum	1.098	371	-0.502	0.246	0.0421462857301029	0.337170285840823
All	Older	1	subnigra	H1_beta_dosage	1.13	253	-0.221	0.142	0.121433055628746	0.318499060571926
All	Younger	1	subnigra	H1_beta_dosage	1.123	284	0.172	0.143	0.229313929516018	0.401669667301575
Cases	Older	1	subnigra	H1_beta_dosage	1.096	194	-0.13	0.168	0.442384040858082	0.684981740683482
Cases	Younger	1	subnigra	H1_beta_dosage	1.1	178	0.368	0.186	0.0503835889523931	0.18603171305499
All	Older	2	subnigra	H1_beta_dosage	1.125	211	-0.25	0.162	0.125009352430089	0.285735662697346
All	Younger	2	subnigra	H1_beta_dosage	1.117	245	0.012	0.164	0.941986654454489	0.941986654454489
Cases	Older	2	subnigra	H1_beta_dosage	1.098	172	-0.067	0.183	0.71705330692553	0.839477042254279
Cases	Younger	2	subnigra	H1_beta_dosage	1.077	163	0.356	0.208	0.0888227684685261	0.259925838646405
All	Older	3	subnigra	H1_beta_dosage*footyrs	1.125	211	0.08	0.029	0.00653830623358687	0.0950119792907145
All	Younger	3	subnigra	H1_beta_dosage*footyrs	1.117	245	0.1	0.039	0.0098970811761161	0.0950119792907145
Cases	Older	3	subnigra	H1_beta_dosage*footyrs	1.098	172	0.069	0.034	0.0418322947184055	0.193352857903522
Cases	Younger	3	subnigra	H1_beta_dosage*footyrs	1.077	163	0.082	0.049	0.0989546171279159	0.279401271890586
All	NA	4	subnigra	H1_beta_dosage*stratum	1.127	537	-0.199	0.193	0.302523469903135	0.56568964439177
Cases	NA	4	subnigra	H1_beta_dosage*stratum	1.098	372	-0.236	0.242	0.329985625895199	0.56568964439177
