Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Cases	Younger	3	loccoer	H1_gamma_dosage*footyrs	1.1	163	-0.029	0.035	0.404326289109008	0.646922062574413
All	NA	4	loccoer	H1_gamma_dosage*stratum	1.082	537	-0.21	0.191	0.272889359489755	0.459803529407325
Cases	NA	4	loccoer	H1_gamma_dosage*stratum	1.072	372	-0.23	0.243	0.344852647055494	0.459803529407325
All	Older	1	midfront	H1_gamma_dosage	1.073	253	-0.295	0.14	0.0363699535235642	0.207229139287591
All	Younger	1	midfront	H1_gamma_dosage	1.091	284	0.054	0.123	0.657617526357838	0.734084680585494
Cases	Older	1	midfront	H1_gamma_dosage	1.046	194	-0.362	0.161	0.0260148677250447	0.207229139287591
Cases	Younger	1	midfront	H1_gamma_dosage	1.101	178	-0.007	0.151	0.9640630842292	0.9640630842292
All	Older	2	midfront	H1_gamma_dosage	1.06	211	-0.312	0.16	0.0522250994928923	0.428056611948642
All	Younger	2	midfront	H1_gamma_dosage	1.095	245	-0.145	0.138	0.292486124240683	0.625569026313542
Cases	Older	2	midfront	H1_gamma_dosage	1.032	172	-0.317	0.174	0.0700377454271894	0.428056611948642
Cases	Younger	2	midfront	H1_gamma_dosage	1.1	163	-0.063	0.16	0.693399962867569	0.854845405142992
All	Older	3	midfront	H1_gamma_dosage*footyrs	1.06	211	0.006	0.029	0.831991821440784	0.97403920558921
All	Younger	3	midfront	H1_gamma_dosage*footyrs	1.095	245	-0.026	0.028	0.353133134026317	0.646922062574413
Cases	Older	3	midfront	H1_gamma_dosage*footyrs	1.032	172	-0.054	0.035	0.126659514818508	0.621848034335873
Cases	Younger	3	midfront	H1_gamma_dosage*footyrs	1.1	163	-0.028	0.032	0.381020099186472	0.646922062574413
All	NA	4	midfront	H1_gamma_dosage*stratum	1.082	537	-0.331	0.179	0.0649007767676333	0.1947023303029
Cases	NA	4	midfront	H1_gamma_dosage*stratum	1.072	372	-0.206	0.213	0.334032626491844	0.459803529407325
All	Older	1	suptemp	H1_gamma_dosage	1.073	253	-0.293	0.141	0.0388554636164233	0.207229139287591
All	Younger	1	suptemp	H1_gamma_dosage	1.091	284	0.178	0.124	0.152231780570705	0.373413494076461
Cases	Older	1	suptemp	H1_gamma_dosage	1.046	194	-0.401	0.164	0.0153595474263133	0.147451655292608
Cases	Younger	1	suptemp	H1_gamma_dosage	1.101	178	0.177	0.152	0.24621749982819	0.447823734312526
All	Older	2	suptemp	H1_gamma_dosage	1.06	211	-0.331	0.161	0.0413274367395797	0.428056611948642
All	Younger	2	suptemp	H1_gamma_dosage	1.095	245	0.022	0.137	0.87191493169093	0.909824276547057
Cases	Older	2	suptemp	H1_gamma_dosage	1.032	172	-0.34	0.177	0.0560085225183751	0.428056611948642
Cases	Younger	2	suptemp	H1_gamma_dosage	1.1	163	0.127	0.159	0.42357202385374	0.730521339819538
All	Older	3	suptemp	H1_gamma_dosage*footyrs	1.06	211	0.055	0.029	0.0595438284846166	0.621848034335873
All	Younger	3	suptemp	H1_gamma_dosage*footyrs	1.095	245	-0.024	0.027	0.380393580680716	0.646922062574413
Cases	Older	3	suptemp	H1_gamma_dosage*footyrs	1.032	172	0.015	0.036	0.680908719244397	0.88334104118192
Cases	Younger	3	suptemp	H1_gamma_dosage*footyrs	1.1	163	-0.027	0.031	0.387310567911491	0.646922062574413
All	NA	4	suptemp	H1_gamma_dosage*stratum	1.082	537	-0.394	0.18	0.029317345491918	0.16040255072386
Cases	NA	4	suptemp	H1_gamma_dosage*stratum	1.072	372	-0.349	0.214	0.103267727235226	0.225311404876857
All	Older	1	CTEstage	H1_gamma_dosage	1.073	253	-0.381	0.136	0.00541826199924511	0.125613858120097
All	Younger	1	CTEstage	H1_gamma_dosage	1.09	283	0.084	0.12	0.486538721404074	0.615153112338379
Cases	Older	1	CTEstage	H1_gamma_dosage	1.046	194	-0.479	0.168	0.00485981090889021	0.125613858120097
Cases	Younger	1	CTEstage	H1_gamma_dosage	1.099	177	0.181	0.157	0.25139326705357	0.447823734312526
All	Older	2	CTEstage	H1_gamma_dosage	1.06	211	-0.358	0.156	0.0227491035471696	0.428056611948642
All	Younger	2	CTEstage	H1_gamma_dosage	1.095	245	0.037	0.134	0.781471039198698	0.894974593526422
Cases	Older	2	CTEstage	H1_gamma_dosage	1.032	172	-0.378	0.179	0.0360557863419708	0.428056611948642
Cases	Younger	2	CTEstage	H1_gamma_dosage	1.1	163	0.099	0.165	0.549845761222577	0.787550921989401
All	Older	3	CTEstage	H1_gamma_dosage*footyrs	1.06	211	-0.011	0.032	0.741677243893485	0.936855465970718
All	Younger	3	CTEstage	H1_gamma_dosage*footyrs	1.095	245	-0.043	0.028	0.121457200102223	0.621848034335873
Cases	Older	3	CTEstage	H1_gamma_dosage*footyrs	1.032	172	-0.048	0.04	0.236768273402522	0.621848034335873
Cases	Younger	3	CTEstage	H1_gamma_dosage*footyrs	1.1	163	-0.028	0.033	0.402772764699312	0.646922062574413
All	NA	4	CTEstage	H1_gamma_dosage*stratum	1.082	536	-0.444	0.177	0.0122395996406708	0.14687519568805
Cases	NA	4	CTEstage	H1_gamma_dosage*stratum	1.071	371	-0.399	0.215	0.0647142333912718	0.1947023303029
All	Older	1	subnigra	H1_gamma_dosage	1.073	253	-0.13	0.135	0.336525750385943	0.518005617426441
All	Younger	1	subnigra	H1_gamma_dosage	1.091	284	0.201	0.13	0.123105267932685	0.369315803798055
Cases	Older	1	subnigra	H1_gamma_dosage	1.046	194	-0.08	0.153	0.60088332274509	0.68672379742296
Cases	Younger	1	subnigra	H1_gamma_dosage	1.101	178	0.175	0.158	0.270529164314294	0.447823734312526
All	Older	2	subnigra	H1_gamma_dosage	1.06	211	-0.13	0.153	0.398274298908203	0.730521339819538
All	Younger	2	subnigra	H1_gamma_dosage	1.095	245	0.006	0.144	0.965959544552658	0.965959544552658
Cases	Older	2	subnigra	H1_gamma_dosage	1.032	172	-0.034	0.166	0.839038681431021	0.894974593526422
Cases	Younger	2	subnigra	H1_gamma_dosage	1.1	163	0.107	0.168	0.527182467509364	0.787550921989401
All	Older	3	subnigra	H1_gamma_dosage*footyrs	1.06	211	0.033	0.028	0.247172452455878	0.621848034335873
All	Younger	3	subnigra	H1_gamma_dosage*footyrs	1.095	245	-0.054	0.031	0.0762064849654334	0.621848034335873
Cases	Older	3	subnigra	H1_gamma_dosage*footyrs	1.032	172	0.001	0.034	0.983102238408526	0.984201355092433
Cases	Younger	3	subnigra	H1_gamma_dosage*footyrs	1.1	163	-0.056	0.035	0.106800799979729	0.621848034335873
All	NA	4	subnigra	H1_gamma_dosage*stratum	1.082	537	-0.246	0.181	0.175650168618686	0.351300337237372
Cases	NA	4	subnigra	H1_gamma_dosage*stratum	1.072	372	-0.034	0.214	0.873264563462893	0.873264563462893
