Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Younger	3	CTEstage	H2_gamma_dosage*footyrs	0.379	200	0.028	0.03	0.358275984645692	0.657707102231928
Cases	Older	3	CTEstage	H2_gamma_dosage*footyrs	0.379	156	-0.018	0.036	0.610997260717791	0.794072114114637
Cases	Younger	3	CTEstage	H2_gamma_dosage*footyrs	0.406	127	0.034	0.038	0.371663256240747	0.657707102231928
All	NA	4	CTEstage	H2_gamma_dosage*stratum	0.334	536	0.575	0.173	0.00091938370835476	0.0220652090005142
Cases	NA	4	CTEstage	H2_gamma_dosage*stratum	0.347	371	0.462	0.203	0.0234694259727508	0.184151117865272
All	Older	1	subnigra	H2_gamma_dosage	0.34	226	0.069	0.135	0.61096590002012	0.715277151243067
All	Younger	1	subnigra	H2_gamma_dosage	0.391	232	-0.208	0.132	0.116766672269655	0.255115328511982
Cases	Older	1	subnigra	H2_gamma_dosage	0.379	173	0.014	0.155	0.929251140759762	0.991201216810413
Cases	Younger	1	subnigra	H2_gamma_dosage	0.396	140	-0.281	0.16	0.0816937070786445	0.230664584692643
All	Older	2	subnigra	H2_gamma_dosage	0.339	192	0.097	0.154	0.528615160337838	0.724957934177606
All	Younger	2	subnigra	H2_gamma_dosage	0.379	200	-0.102	0.143	0.474592591512924	0.690316496746071
Cases	Older	2	subnigra	H2_gamma_dosage	0.379	156	-0.015	0.167	0.927548055565667	0.969077154782454
Cases	Younger	2	subnigra	H2_gamma_dosage	0.406	127	-0.276	0.167	0.101960058893676	0.349577344778318
All	Older	3	subnigra	H2_gamma_dosage*footyrs	0.339	192	-0.076	0.029	0.00925600857911091	0.172060898681971
All	Younger	3	subnigra	H2_gamma_dosage*footyrs	0.379	200	0.01	0.033	0.756663273873303	0.885849686485818
Cases	Older	3	subnigra	H2_gamma_dosage*footyrs	0.379	156	-0.055	0.032	0.0852595491099113	0.372041668843249
Cases	Younger	3	subnigra	H2_gamma_dosage*footyrs	0.406	127	0.034	0.04	0.397522589819133	0.657707102231928
All	NA	4	subnigra	H2_gamma_dosage*stratum	0.333	537	0.214	0.171	0.212634995577567	0.300190581991859
Cases	NA	4	subnigra	H2_gamma_dosage*stratum	0.346	372	0.127	0.2	0.52614236208933	0.549018116962779
