Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	NA	4	midfront	H2_alpha_dosage*stratum	0.24	537	0.438	0.234	0.0622599135019313	0.221570943768236
Cases	NA	4	midfront	H2_alpha_dosage*stratum	0.244	372	0.473	0.284	0.0962674283803815	0.221570943768236
All	Older	1	suptemp	H2_alpha_dosage	0.241	226	0.324	0.202	0.110586730229906	0.408320234695038
All	Younger	1	suptemp	H2_alpha_dosage	0.285	232	-0.243	0.17	0.155819513550438	0.420000258842686
Cases	Older	1	suptemp	H2_alpha_dosage	0.264	173	0.582	0.239	0.0162393419788227	0.194872103745872
Cases	Younger	1	suptemp	H2_alpha_dosage	0.281	140	-0.31	0.212	0.146717602499878	0.420000258842686
All	Older	2	suptemp	H2_alpha_dosage	0.24	192	0.409	0.229	0.0755496658296226	0.348926337392823
All	Younger	2	suptemp	H2_alpha_dosage	0.276	200	-0.14	0.187	0.456095739068882	0.708811704225105
Cases	Older	2	suptemp	H2_alpha_dosage	0.262	156	0.517	0.26	0.0491318287526119	0.348926337392823
Cases	Younger	2	suptemp	H2_alpha_dosage	0.286	127	-0.243	0.223	0.279682298892269	0.579160465448596
All	Older	3	suptemp	H2_alpha_dosage*footyrs	0.24	192	-0.115	0.042	0.00644277596584963	0.137089108130198
All	Younger	3	suptemp	H2_alpha_dosage*footyrs	0.276	200	-0.005	0.038	0.893617817656906	0.893617817656906
Cases	Older	3	suptemp	H2_alpha_dosage*footyrs	0.262	156	-0.129	0.051	0.0120941169929853	0.145129403915824
Cases	Younger	3	suptemp	H2_alpha_dosage*footyrs	0.286	127	0.008	0.045	0.862286247668683	0.880632763576527
All	NA	4	suptemp	H2_alpha_dosage*stratum	0.24	537	0.529	0.238	0.0264751272538741	0.199256250468299
Cases	NA	4	suptemp	H2_alpha_dosage*stratum	0.244	372	0.704	0.288	0.0151955642799901	0.182346771359881
All	Older	1	CTEstage	H2_alpha_dosage	0.241	226	0.565	0.206	0.00672653121767874	0.111740044203902
All	Younger	1	CTEstage	H2_alpha_dosage	0.287	231	-0.119	0.166	0.472809396097626	0.667495618020178
