Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Younger	1	subnigra	H1_dosage	0.83	284	0.445	0.248	0.0739938006759848	0.164150079374121
Cases	Older	1	subnigra	H1_dosage	0.816	194	-0.115	0.288	0.691031020106168	0.77138346430456
Cases	Younger	1	subnigra	H1_dosage	0.837	178	0.524	0.298	0.0808257254001115	0.164150079374121
All	Older	2	subnigra	H1_dosage	0.836	211	-0.261	0.29	0.368984546839598	0.553476820259397
All	Younger	2	subnigra	H1_dosage	0.836	245	0.13	0.265	0.624286651181026	0.807317027684832
Cases	Older	2	subnigra	H1_dosage	0.816	172	-0.025	0.311	0.935193407658987	0.958292260962397
Cases	Younger	2	subnigra	H1_dosage	0.834	163	0.404	0.308	0.192347746579537	0.375760284278688
All	Older	3	subnigra	H1_dosage*footyrs	0.836	211	0.146	0.055	0.00828137978367272	0.28379897741183
All	Younger	3	subnigra	H1_dosage*footyrs	0.836	245	-0.033	0.059	0.573651112911256	0.764868150548341
Cases	Older	3	subnigra	H1_dosage*footyrs	0.816	172	0.109	0.06	0.0725845405886414	0.526484004449092
Cases	Younger	3	subnigra	H1_dosage*footyrs	0.834	163	-0.074	0.07	0.290348886580449	0.606475930926829
All	NA	4	subnigra	H1_dosage*stratum	0.832	537	-0.436	0.34	0.201052578148686	0.283838933856968
Cases	NA	4	subnigra	H1_dosage*stratum	0.826	372	-0.266	0.399	0.504880313969216	0.526831631967878
