Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	CA2	HLA_DPB1.10.01	0.009	458	1.146	0.886	0.200008196476869	0.998825943195549
All	1	CA2	HLA_DPB1.11	0.021	458	0.552	0.464	0.234915619226634	0.998825943195549
All	1	CA2	HLA_DPB1.11.01	0.021	458	0.552	0.464	0.234915619226634	0.998825943195549
All	1	CA2	HLA_DPB1.13	0.025	458	0.182	0.447	0.684005849188959	0.998825943195549
All	1	CA2	HLA_DPB1.13.01	0.025	458	0.182	0.447	0.684005849188959	0.998825943195549
All	1	CA2	HLA_DPB1.14	0.007	458	0.216	0.68	0.750379445296676	0.998825943195549
All	1	CA2	HLA_DPB1.14.01	0.007	458	0.216	0.68	0.750379445296676	0.998825943195549
All	1	CA2	HLA_DPB1.15	0.009	458	-0.096	0.661	0.884124745338765	0.998825943195549
All	1	CA2	HLA_DPB1.15.01	0.009	458	-0.096	0.661	0.884124745338765	0.998825943195549
All	1	CA2	HLA_DPB1.16	0.007	458	0.523	0.749	0.484942271478745	0.998825943195549
All	1	CA2	HLA_DPB1.16.01	0.007	458	0.523	0.749	0.484942271478745	0.998825943195549
All	1	CA2	HLA_DPB1.17	0.012	458	-0.691	0.602	0.251981971257184	0.998825943195549
All	1	CA2	HLA_DPB1.17.01	0.012	458	-0.691	0.602	0.251981971257184	0.998825943195549
All	1	CA2	HLA_DPB1.18	0	458	471.533	52.486	0.99367800470322	0.998825943195549
All	1	CA2	HLA_DPB1.18.01	0	458	471.533	52.486	0.99367800470322	0.998825943195549
All	1	CA2	HLA_DPB1.19	0.005	458	0.083	0.801	0.917928397451806	0.998825943195549
All	1	CA2	HLA_DPB1.19.01	0.005	458	0.083	0.801	0.917928397451806	0.998825943195549
All	1	CA2	HLA_DPB1.20	0.008	458	-0.647	0.737	0.3806324377445	0.998825943195549
All	1	CA2	HLA_DPB1.20.01	0.008	458	-0.647	0.737	0.3806324377445	0.998825943195549
All	1	CA2	HLA_DPB1.23	0.009	458	-1.236	0.916	0.178539037282612	0.998825943195549
All	1	CA2	HLA_DPB1.23.01	0.009	458	-1.229	0.916	0.180712952541668	0.998825943195549
All	1	CA2	HLA_DPB1.333	0.001	458	21.399	0.077	0.9902774339909	0.998825943195549
All	1	CA2	HLA_DPB1.333.01	0.001	458	21.399	0.077	0.9902774339909	0.998825943195549
All	1	CA2	HLA_DQA1.01	0.411	458	-0.098	0.138	0.475340811016141	0.998825943195549
All	1	CA2	HLA_DQA1.01.01	0.128	458	-0.112	0.196	0.567564293106956	0.998825943195549
All	1	CA2	HLA_DQA1.01.02	0.207	458	-0.024	0.173	0.889571922026809	0.998825943195549
All	1	CA2	HLA_DQA1.01.03	0.073	458	-0.111	0.238	0.641360325805327	0.998825943195549
